t(s),E(s),F(s),theta,E(theta),F(theta)
205.2,0.004402488,0.5476246,0.9431476,0.9579613,0.5476246
205.8,0.004439881,0.5502773,0.9459054,0.9659672,0.5502773
206.4,0.004272879,0.5528911,0.9486631,0.9297605,0.5528911
207,0.004254716,0.5554494,0.9514208,0.9265829,0.5554494
207.6,0.004442891,0.5580587,0.9541786,0.9672667,0.5580587
208.2,0.004443967,0.5607247,0.9569363,0.9677193,0.5607247
208.8,0.004562276,0.5634266,0.9596941,0.993846,0.5634266
209.4,0.004623271,0.5661823,0.9624518,1.006445,0.5661823
210,0.004270653,0.5688504,0.9652096,0.9296758,0.5688504
210.6,0.00439299,0.5714495,0.9679673,0.9562565,0.5714495
211.2,0.004279873,0.5740514,0.9707251,0.931342,0.5740514
211.8,0.004507326,0.5766875,0.9734828,0.9808693,0.5766875
212.4,0.004409395,0.5793626,0.9762405,0.9594318,0.5793626
213,0.004466413,0.5820253,0.9789982,0.9718414,0.5820253
213.6,0.004306021,0.584657,0.981756,0.9370675,0.584657
214.2,0.004295116,0.5872374,0.9845137,0.9346174,0.5872374
214.8,0.004040315,0.589738,0.9872715,0.8792067,0.589738
215.4,0.004047782,0.5921644,0.9900292,0.8808775,0.5921644
216,0.003886247,0.5945447,0.9927872,0.845648,0.5945447
216.6,0.003978727,0.5969041,0.9955447,0.8656456,0.5969041
217.2,0.004080297,0.5993218,0.9983023,0.8877711,0.5993218
217.8,0.004103511,0.601777,1.00106,0.8925364,0.601777
218.4,0.004074257,0.6042303,1.003818,0.8859886,0.6042303
219,0.003949897,0.6066376,1.006576,0.8586584,0.6066376
219.6,0.004010667,0.6090257,1.009333,0.8720661,0.6090257
220.2,0.003969354,0.6114197,1.012091,0.8632246,0.6114197
220.8,0.003885658,0.6137762,1.014849,0.8453784,0.6137762
221.4,0.004078459,0.6161655,1.017607,0.8876727,0.6161655
222,0.004114877,0.6186235,1.020365,0.8959976,0.6186235
222.6,0.004073572,0.62108,1.023122,0.8868778,0.62108
223.2,0.003935077,0.6234826,1.02588,0.8562812,0.6234826
223.8,0.003816786,0.6258082,1.028638,0.830743,0.6258082
224.4,0.003752334,0.6280789,1.031396,0.8162949,0.6280789
225,0.003665885,0.6303044,1.034154,0.7976693,0.6303044
225.6,0.003534593,0.6324645,1.036911,0.768958,0.6324645
226.2,0.003597432,0.6346041,1.039669,0.7824894,0.6346041
226.8,0.003647018,0.6367775,1.042427,0.7935128,0.6367775
227.4,0.003685039,0.6389771,1.045184,0.8018574,0.6389771
228,0.003765993,0.6412124,1.047942,0.8196123,0.6412124
228.6,0.003651567,0.6434376,1.0507,0.7946034,0.6434376
229.2,0.003763362,0.6456621,1.053457,0.8189302,0.6456621
229.8,0.003642244,0.6478838,1.056215,0.7928956,0.6478838
230.4,0.003738481,0.650098,1.058973,0.8137107,0.650098
231,0.003737824,0.6523409,1.061731,0.8137547,0.6523409
231.6,0.003785756,0.654598,1.064489,0.8241841,0.654598
232.2,0.003797268,0.6568729,1.067246,0.8263572,0.6568729
232.8,0.003681088,0.6591164,1.070004,0.8009969,0.6591164
233.4,0.003670155,0.6613218,1.072762,0.7986734,0.6613218
234,0.003524686,0.6634802,1.075519,0.7668448,0.6634802
234.6,0.003644903,0.6656311,1.078277,0.7933989,0.6656311
235.2,0.003363537,0.6677336,1.081035,0.7320236,0.6677336
